ts,phase,mode,cycle_time_ms,cycle_num,cycle_total,all_time_total,global_mean,global_std_dev,packets_per_sec_cycle
1776656117.9741812,P1_rr_10000ms,rr,10000,41,347,14439,,,34.7
1776656128.3671927,P1_rr_10000ms,rr,10000,42,462,14901,,,46.2
1776656138.765714,P1_rr_10000ms,rr,10000,43,378,15279,,,37.8
1776656149.099286,P1_rr_10000ms,rr,10000,44,427,15706,,,42.7
1776656159.4937453,P1_rr_10000ms,rr,10000,45,429,16135,,,42.9
1776656169.8222847,P1_rr_10000ms,rr,10000,46,401,16536,,,40.1
1776656180.1534154,P1_rr_10000ms,rr,10000,47,503,17039,,,50.3
1776656190.5140204,P1_rr_10000ms,rr,10000,48,381,17420,,,38.1
1776656200.9536755,P1_rr_10000ms,rr,10000,49,499,17919,,,49.9
1776656211.305962,P1_rr_10000ms,rr,10000,50,411,18330,,,41.1
1776656221.658233,P1_rr_10000ms,rr,10000,51,408,18738,,,40.8
1776656232.032295,P1_rr_10000ms,rr,10000,52,473,19211,,,47.3
1776656242.381154,P1_rr_10000ms,rr,10000,53,374,19585,,,37.4
1776656252.678847,P1_rr_10000ms,rr,10000,54,485,20070,,,48.5
1776656263.1285052,P1_rr_10000ms,rr,10000,55,366,20436,,,36.6
1776656273.4712627,P1_rr_10000ms,rr,10000,56,361,20797,,,36.1
1776656283.8086827,P1_rr_10000ms,rr,10000,57,368,21165,,,36.8
1776656294.1399612,P1_rr_10000ms,rr,10000,58,382,21547,,,38.2
1776656304.5235445,P1_rr_10000ms,rr,10000,59,377,21924,,,37.7
1776656314.8906436,P1_rr_10000ms,rr,10000,60,372,22296,,,37.2
1776656325.2536883,P1_rr_10000ms,rr,10000,61,329,22625,,,32.9
1776656335.6207237,P1_rr_10000ms,rr,10000,62,393,23018,,,39.3
1776656345.980329,P1_rr_10000ms,rr,10000,63,364,23382,,,36.4
1776656356.3635876,P1_rr_10000ms,rr,10000,64,334,23716,,,33.4
1776656366.727235,P1_rr_10000ms,rr,10000,65,340,24056,,,34.0
1776656408.1540802,P2_ad_3000ms,rr,3000,69,394,25645,,,131.3333
1776656418.4480608,P2_ad_3000ms,rr,3000,70,362,26007,,,120.6667
1776656428.8719873,P2_ad_3000ms,rr,3000,71,403,26410,,,134.3333
1776656439.2634637,P2_ad_3000ms,rr,3000,72,356,26766,,,118.6667
1776656449.613728,P2_ad_3000ms,rr,3000,73,400,27166,,,133.3333
1776656459.9821694,P2_ad_3000ms,rr,3000,74,380,27546,,,126.6667
1776656470.3488736,P2_ad_3000ms,rr,3000,75,457,28003,,,152.3333
1776656480.6518047,P2_ad_3000ms,rr,3000,76,533,28536,,,177.6667
1776656491.0410137,P2_ad_3000ms,rr,3000,77,338,28874,,,112.6667
1776656501.369958,P2_ad_3000ms,rr,3000,78,444,29318,,,148.0
1776656511.768542,P2_ad_3000ms,rr,3000,79,472,29790,,,157.3333
1776656522.0939643,P2_ad_3000ms,rr,3000,80,408,30198,,,136.0
1776656532.479807,P2_ad_3000ms,rr,3000,81,535,30733,,,178.3333
1776656542.8015752,P2_ad_3000ms,rr,3000,82,507,31240,,,169.0
1776656553.151096,P2_ad_3000ms,rr,3000,83,416,31656,,,138.6667
1776656563.551835,P2_ad_3000ms,rr,3000,84,428,32084,,,142.6667
1776656573.9255977,P2_ad_3000ms,rr,3000,85,414,32498,,,138.0
1776656584.225812,P2_ad_3000ms,rr,3000,86,408,32906,,,136.0
1776656594.6923602,P2_ad_3000ms,rr,3000,87,400,33306,,,133.3333
1776656605.0246022,P2_ad_3000ms,rr,3000,88,436,33742,,,145.3333
1776656615.3503447,P2_ad_3000ms,rr,3000,89,386,34128,,,128.6667
1776656625.6951568,P2_ad_3000ms,rr,3000,90,373,34501,,,124.3333
1776656636.04292,P2_ad_3000ms,rr,3000,91,416,34917,,,138.6667
1776656646.4513993,P2_ad_3000ms,rr,3000,92,475,35392,,,158.3333
1776656656.813629,P2_ad_3000ms,rr,3000,93,466,35858,,,155.3333
1776656667.1589487,P2_ad_3000ms,rr,3000,94,319,36177,,,106.3333
1776656708.642068,P3_ad_5000ms,rr,5000,98,391,37628,,,78.2
1776656718.999064,P3_ad_5000ms,rr,5000,99,344,37972,,,68.8
1776656729.3741515,P3_ad_5000ms,rr,5000,100,364,38336,,,72.8
1776656739.6743512,P3_ad_5000ms,rr,5000,101,385,38721,,,77.0
1776656750.084657,P3_ad_5000ms,rr,5000,102,406,39127,,,81.2
1776656760.3982031,P3_ad_5000ms,rr,5000,103,336,39463,,,67.2
1776656770.7662172,P3_ad_5000ms,rr,5000,104,298,39761,,,59.6
1776656781.0840394,P3_ad_5000ms,rr,5000,105,202,39963,,,40.4
1776656791.5273724,P3_ad_5000ms,rr,5000,106,314,40277,,,62.8
1776656801.8557358,P3_ad_5000ms,rr,5000,107,307,40584,,,61.4
1776656812.1983497,P3_ad_5000ms,rr,5000,108,342,40926,,,68.4
1776656822.5652754,P3_ad_5000ms,rr,5000,109,321,41247,,,64.2
1776656832.9426332,P3_ad_5000ms,rr,5000,110,357,41604,,,71.4
1776656853.6938534,P3_ad_5000ms,rr,5000,112,301,42253,,,60.2
1776656874.3597724,P3_ad_5000ms,rr,5000,114,343,42882,,,68.6
1776656884.7681415,P3_ad_5000ms,rr,5000,115,330,43212,,,66.0
1776656895.1616309,P3_ad_5000ms,rr,5000,116,246,43458,,,49.2
1776656905.447189,P3_ad_5000ms,rr,5000,117,344,43802,,,68.8
1776656915.8346136,P3_ad_5000ms,rr,5000,118,345,44147,,,69.0
1776656926.2317948,P3_ad_5000ms,rr,5000,119,347,44494,,,69.4
1776656936.5318627,P3_ad_5000ms,rr,5000,120,399,44893,,,79.8
1776656946.889728,P3_ad_5000ms,rr,5000,121,354,45247,,,70.8
1776656957.2554965,P3_ad_5000ms,rr,5000,122,332,45579,,,66.4
1776656967.593813,P3_ad_5000ms,rr,5000,123,267,45846,,,53.4
1776657009.0351598,P4_ad_7000ms,rr,7000,127,312,47266,,,44.5714
1776657019.3904934,P4_ad_7000ms,rr,7000,128,330,47596,,,47.1429
1776657029.8007467,P4_ad_7000ms,rr,7000,129,358,47954,,,51.1429
1776657040.1980731,P4_ad_7000ms,rr,7000,130,355,48309,,,50.7143
1776657050.486276,P4_ad_7000ms,rr,7000,131,324,48633,,,46.2857
1776657060.8877707,P4_ad_7000ms,rr,7000,132,314,48947,,,44.8571
1776657071.28986,P4_ad_7000ms,rr,7000,133,403,49350,,,57.5714
1776657081.6535356,P4_ad_7000ms,rr,7000,134,307,49657,,,43.8571
1776657092.0273051,P4_ad_7000ms,rr,7000,135,388,50045,,,55.4286
1776657102.3104184,P4_ad_7000ms,rr,7000,136,368,50413,,,52.5714
1776657112.694114,P4_ad_7000ms,rr,7000,137,408,50821,,,58.2857
1776657123.07105,P4_ad_7000ms,rr,7000,138,381,51202,,,54.4286
1776657133.460125,P4_ad_7000ms,rr,7000,139,442,51644,,,63.1429
1776657143.7443979,P4_ad_7000ms,rr,7000,140,370,52014,,,52.8571
1776657154.1509528,P4_ad_7000ms,rr,7000,141,313,52327,,,44.7143
1776657164.5549684,P4_ad_7000ms,rr,7000,142,337,52664,,,48.1429
1776657174.8468273,P4_ad_7000ms,rr,7000,143,359,53023,,,51.2857
1776657185.2479331,P4_ad_7000ms,rr,7000,144,392,53415,,,56.0
1776657195.5319762,P4_ad_7000ms,rr,7000,145,391,53806,,,55.8571
1776657205.8893785,P4_ad_7000ms,rr,7000,146,368,54174,,,52.5714
1776657216.2509842,P4_ad_7000ms,rr,7000,147,344,54518,,,49.1429
1776657226.6403506,P4_ad_7000ms,rr,7000,148,310,54828,,,44.2857
1776657237.062406,P4_ad_7000ms,rr,7000,149,487,55315,,,69.5714
1776657247.4373696,P4_ad_7000ms,rr,7000,150,422,55737,,,60.2857
1776657257.7933273,P4_ad_7000ms,rr,7000,151,471,56208,,,67.2857
1776657268.0584273,P4_ad_7000ms,rr,7000,152,319,56527,,,45.5714
